Quelle,Stadt,URL PARENT,Dateibezeichnung,URL Datei,Format,Beschreibung,Zeitlicher Bezug,Lizenz,Kosten,Veröffentlichende Stelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
d,hamburg.de,,Bebauungsplan Rahlstedt 8 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Rahlstedt 8 für das Plangebiet Wehlbrook-Remstedtstraße-Rahlstedter Straße-Stapelfelder Straße-Ostgrenze des Flurstücks 264, von hier über das Flurstück 269 zur Südgrenze des Flurstücks 86/5 sowie Südgrenze des Flurstücks 91/5 der Gemarkung Neurahlstedt-Klettenstieg (Bezirk Wandsbek, Ortsteil 526) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Groß-Borstel 18 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Groß Borstel 18 für den Geltungsbereich östlich Klotzenmoor/westlich des Naturschutzgebiets Eppendorfer Moor (Bezirk Hamburg-Nord, Ortsteil 406) wird festgestellt.
Das Gebiet wird wie folgt begrenzt:
Klotzenmoor-Klotzenmoorstieg-über das Flurstück 175, Westgrenze des Flurstücks 169, über die Flurstücke 169 und 175 der Gemarkung Groß Borstel-Rathbusch-Weg Nr. 173-über das Flurstück 5 der Gemarkung Eppendorf.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Billstedt 70 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Billstedt 70 für den Geltungsbereich Glinder Straße zwischen der Bundesautobahn und der Landesgrenze einschließlich angrenzender Flurstücke bzw. Flurstücksteile der Gemarkung Kirchsteinbek sowie ein Teil der Zufahrt zur Bundesautobahn und des Oststeinbeker Weges einschließlich einer Teilfläche des Flurstücks 1193 der Gemarkung Kirchsteinbek (Bezirk Hamburg-Mitte, Ortsteil 131) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Einbau Ersatzbaustoffe,http://www.hamburg.de/ersatzbaustoffe/,"GML,WMS","Anforderungen an die stoffliche Verwertung von mineralischen Abfällen: Karte zur Beurteilung der Einbaufähigkeit von Ersatzbaustoffen unter Berücksichtigung der Grundwasserflurabstände, Überschwemmungsgebiete, Wasserschutzgebiete und Naturschutzgebiete.
Die Daten werden als WMS-Darstellungsdienst und als WFS-Downloaddienst bereitgestellt.",,dl-de-by-1.0,,"Behörde für Stadtentwicklung und Umwelt, Amt für Umweltschutz",,,,,,,,,,,,,x,,,,,,,,,
d,hamburg.de,,Bebauungsplan Eidelstedt 17 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Eidelstedt 17 für den Geltungsbereich Jasminweg - Goldregenweg - Westgrenzen der Flurstücke 198 und 189 der Gemarkung Eidelstedt - Halstenbeker Weg - Zweigweg - Lohkampstraße (Bezirk Eimsbüttel, Ortsteil 320) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Billstedt 9 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Billstedt 9 für das Plangebiet Merkenstraße - Öjendorfer Höhe - Ostgrenzen der Flurstücke 932, 661 und 662 der Gemarkung Öjendorf - Möllner Landstraße (Bezirk Hamburg-Mitte, Ortsteil 131) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Open Data Portal - Hamburg,,DATA,"Die Freie und Hansestadt Hamburg bietet Ihnen auf diesem Portal (Beta-Version) zahlreiche Datensätze, Dienste und Anwendungen der Behörden und Ämter an. Die Datensätze werden von der Verwaltung im Sinne von ""Open Data"" frei verfügbar und nutzbar zur Verfügung gestellt. Sie können entsprechend der Nutzungsbedingungen und Lizenzen weiterverwendet werden, beispielweise für die Entwicklung von Apps. Mehr über die Rahmenbedingungen gibt es unter ""Information"" und in dem Artikel ""Rechtliches"". Die Inhalte des Portals werden fortlaufend ergänzt und weitere Datensätze aufgenommen.",,dl-de-by-1.0,,,,,,,,,,,,,,,,,,,,,,,,x
d,hamburg.de,,Bebauungsplan Tonndorf 1 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Tonndorf 1 für den Geltungsbereich Ölmühlenweg-Willöperstraße-Westerlandstraße-Flensburger Straße- Nordmarkstraße-Ahrensburger Straße (Bezirk Wandsbek, Ortsteil 513) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Volksdorf 6 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Volksdorf 6 für das Plangebiet Bahnanlagen-Vorn Barkholt-Nordgrenze des Flurstücks 132 der Gemarkung Volksdorf-Lerchenberg-Nord- und Ostgrenze des Flurstücks 220, Nord-, Ost- und Südgrenze des Flurstücks 218, Ostgrenze des Flurstücks 529, Nord- und Ostgrenze des Flurstücks 216 sowie Ostgrenze des Flurstücks 523 der Gemarkung Volksdorf Eulenkrugpfad-Im Alten Dorfe-Südgrenzen der Flurstücke 149 und 2567 der Gemarkung Volksdorf (Bezirk Wandsbek, Ortsteil 525) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Landesgrundbesitzverzeichnis,http://immobilien-lig.hamburg.de,"GML,WMS","Das Landesgrundbesitzverzeichnis dient der Freien und Hansestadt Hamburg als Nachweis über alle landeseigenen Grundstücke und grundstücksgleichen Rechte. 

Landeseigener Grundbesitz ist in dem Verzeichnis auch dann aufgelistet, wenn er aufgrund dinglicher (Erbbaurechte u. ä.) oder obligatorischer (Miet- oder Pachtverträge u. ä.) Rechte Dritten überlassen ist.

Das Verzeichnis gliedert sich in das Allgemeine Grundvermögen, das Verwaltungs- (z.B. Straßenflächen) und Sondervermögen (z.B. Schulimmobilien).",,dl-de-by-1.0,,"Landesbetrieb Immobilienmanagement und Grundvermögen, Flächen- und Portfoliomanagement (Abteilung 45)
Management der Datenbanken und des grafischen Informationssystems (Referat 452)",,,,,x,x,,,,,,,,,,,,,,,,
