Berlin,"Berlin, Stadt",Berlin
Hamburg,"Hamburg, Freie und Hansestadt",Hamburg
München,"München, Landeshauptstadt",Bayern
Köln,"Köln, Stadt",Nordrhein-Westfalen
Frankfurt am Main,"Frankfurt am Main, Stadt",Hessen
Stuttgart,"Stuttgart, Landeshauptstadt",Baden-Württemberg
Düsseldorf,"Düsseldorf, Stadt",Nordrhein-Westfalen
Dortmund,"Dortmund, Stadt",Nordrhein-Westfalen
Essen,"Essen, Stadt",Nordrhein-Westfalen
Bremen,"Bremen, Stadt",Bremen
Dresden,"Dresden, Stadt",Sachsen
Leipzig,"Leipzig, Stadt",Sachsen
Hannover,"Hannover, Landeshauptstadt",Niedersachsen
Nürnberg,Nürnberg,Bayern
Duisburg,"Duisburg, Stadt",Nordrhein-Westfalen
Bochum,"Bochum, Stadt",Nordrhein-Westfalen
Wuppertal,"Wuppertal, Stadt",Nordrhein-Westfalen
Bielefeld,"Bielefeld, Stadt",Nordrhein-Westfalen
Bonn,"Bonn, Stadt",Nordrhein-Westfalen
Münster,"Münster, Stadt",Nordrhein-Westfalen
Karlsruhe,"Karlsruhe, Stadt",Baden-Württemberg
Mannheim,"Mannheim, Universitätsstadt",Baden-Württemberg
Wiesbaden,"Wiesbaden, Landeshauptstadt",Hessen
Augsburg,Augsburg,Bayern
Gelsenkirchen,"Gelsenkirchen, Stadt",Nordrhein-Westfalen
Mönchengladbach,"Mönchengladbach, Stadt",Nordrhein-Westfalen
Braunschweig,"Braunschweig, Stadt",Niedersachsen
Chemnitz,"Chemnitz, Stadt",Sachsen
Aachen,"Aachen, Stadt",Nordrhein-Westfalen
Kiel,"Kiel, Landeshauptstadt",Schleswig-Holstein
Halle (Saale),"Halle (Saale), Stadt",Sachsen-Anhalt
Magdeburg,"Magdeburg, Landeshauptstadt",Sachsen-Anhalt
Krefeld,"Krefeld, Stadt",Nordrhein-Westfalen
Freiburg im Breisgau,"Freiburg im Breisgau, Stadt",Baden-Württemberg
Lübeck,"Lübeck, Hansestadt",Schleswig-Holstein
Oberhausen,"Oberhausen, Stadt",Nordrhein-Westfalen
Erfurt,"Erfurt, Stadt",Thüringen
Rostock,"Rostock, Hansestadt",Mecklenburg-Vorpommern
Mainz,"Mainz, Stadt",Rheinland-Pfalz
Kassel,"Kassel, documenta-Stadt",Hessen
Hagen,"Hagen, Stadt",Nordrhein-Westfalen
Saarbrücken,"Saarbrücken, Landeshauptstadt",Saarland
Hamm,"Hamm, Stadt",Nordrhein-Westfalen
Mülheim an der Ruhr,"Mülheim an der Ruhr, Stadt",Nordrhein-Westfalen
Leverkusen,"Leverkusen, Stadt",Nordrhein-Westfalen
Ludwigshafen am Rhein,"Ludwigshafen am Rhein, Stadt",Rheinland-Pfalz
Oldenburg (Oldenburg),"Oldenburg (Oldenburg), Stadt",Niedersachsen
Potsdam,"Potsdam, Stadt",Brandenburg
Solingen,"Solingen, Stadt",Nordrhein-Westfalen
Herne,"Herne, Stadt",Nordrhein-Westfalen
Osnabrück,"Osnabrück, Stadt",Niedersachsen
Neuss,"Neuss, Stadt",Nordrhein-Westfalen
Heidelberg,"Heidelberg, Stadt",Baden-Württemberg
Darmstadt,"Darmstadt, Wissenschaftsstadt",Hessen
Paderborn,"Paderborn, Stadt",Nordrhein-Westfalen
Regensburg,Regensburg,Bayern
Ingolstadt,Ingolstadt,Bayern
Würzburg,Würzburg,Bayern
Wolfsburg,"Wolfsburg, Stadt",Niedersachsen
Ulm,"Ulm, Universitätsstadt",Baden-Württemberg
Bottrop,"Bottrop, Stadt",Nordrhein-Westfalen
Heilbronn,"Heilbronn, Stadt",Baden-Württemberg
Fürth,Fürth,Bayern
Göttingen,"Göttingen, Stadt",Niedersachsen
Recklinghausen,"Recklinghausen, Stadt",Nordrhein-Westfalen
Pforzheim,"Pforzheim, Stadt",Baden-Württemberg
Offenbach am Main,"Offenbach am Main, Stadt",Hessen
Remscheid,"Remscheid, Stadt",Nordrhein-Westfalen
Reutlingen,"Reutlingen, Stadt",Baden-Württemberg
Bergisch Gladbach,"Bergisch Gladbach, Stadt",Nordrhein-Westfalen
Bremerhaven,"Bremerhaven, Stadt",Bremen
Koblenz,"Koblenz, Stadt",Rheinland-Pfalz
Jena,"Jena, Stadt",Thüringen
Trier,"Trier, Stadt",Rheinland-Pfalz
Erlangen,Erlangen,Bayern
Moers,"Moers, Stadt",Nordrhein-Westfalen
Cottbus,"Cottbus, Stadt",Brandenburg
Hildesheim,"Hildesheim, Stadt",Niedersachsen
Siegen,"Siegen, Stadt",Nordrhein-Westfalen
Salzgitter,"Salzgitter, Stadt",Niedersachsen
Kaiserslautern,"Kaiserslautern, Stadt",Rheinland-Pfalz
Witten,"Witten, Stadt",Nordrhein-Westfalen
Gera,"Gera, Stadt",Thüringen
Iserlohn,"Iserlohn, Stadt",Nordrhein-Westfalen
Gütersloh,"Gütersloh, Stadt",Nordrhein-Westfalen
Zwickau,"Zwickau, Stadt",Sachsen
Schwerin,"Schwerin, Landeshauptstadt",Mecklenburg-Vorpommern
Düren,"Düren, Stadt",Nordrhein-Westfalen
Hanau,"Hanau, Brüder-Grimm-Stadt",Hessen
Esslingen am Neckar,"Esslingen am Neckar, Stadt",Baden-Württemberg
Ludwigsburg,"Ludwigsburg, Stadt",Baden-Württemberg
Ratingen,"Ratingen, Stadt",Nordrhein-Westfalen
Lünen,"Lünen, Stadt",Nordrhein-Westfalen
Dessau-Roßlau,"Dessau-Roßlau, Stadt",Sachsen-Anhalt
Marl,"Marl, Stadt",Nordrhein-Westfalen
Tübingen,"Tübingen, Universitätsstadt",Baden-Württemberg
Flensburg,"Flensburg, Stadt",Schleswig-Holstein
Velbert,"Velbert, Stadt",Nordrhein-Westfalen
Villingen-Schwenningen,"Villingen-Schwenningen, Stadt",Baden-Württemberg
Minden,"Minden, Stadt",Nordrhein-Westfalen
Worms,"Worms, Stadt",Rheinland-Pfalz
Konstanz,"Konstanz, Universitätsstadt",Baden-Württemberg
Neumünster,"Neumünster, Stadt",Schleswig-Holstein
Wilhelmshaven,"Wilhelmshaven, Stadt",Niedersachsen
Dorsten,"Dorsten, Stadt",Nordrhein-Westfalen
Gießen,"Gießen, Universitätsstadt",Hessen
Viersen,"Viersen, Stadt",Nordrhein-Westfalen
Castrop-Rauxel,"Castrop-Rauxel, Stadt",Nordrhein-Westfalen
Arnsberg,"Arnsberg, Stadt",Nordrhein-Westfalen
Norderstedt,"Norderstedt, Stadt",Schleswig-Holstein
Gladbeck,"Gladbeck, Stadt",Nordrhein-Westfalen
Detmold,"Detmold, Stadt",Nordrhein-Westfalen
Lüdenscheid,"Lüdenscheid, Stadt",Nordrhein-Westfalen
Delmenhorst,"Delmenhorst, Stadt",Niedersachsen
Rheine,"Rheine, Stadt",Nordrhein-Westfalen
Troisdorf,"Troisdorf, Stadt",Nordrhein-Westfalen
Marburg,"Marburg, Universitätsstadt",Hessen
Brandenburg an der Havel,"Brandenburg an der Havel, Stadt",Brandenburg
Bocholt,"Bocholt, Stadt",Nordrhein-Westfalen
Bayreuth,Bayreuth,Bayern
Bamberg,Bamberg,Bayern
Lüneburg,"Lüneburg, Hansestadt",Niedersachsen
Celle,"Celle, Stadt",Niedersachsen
Dinslaken,"Dinslaken, Stadt",Nordrhein-Westfalen
Aschaffenburg,Aschaffenburg,Bayern
Aalen,"Aalen, Stadt",Baden-Württemberg
Lippstadt,"Lippstadt, Stadt",Nordrhein-Westfalen
Herford,"Herford, Stadt",Nordrhein-Westfalen
Fulda,"Fulda, Stadt",Hessen
Plauen,"Plauen, Stadt",Sachsen
Kempten (Allgäu),Kempten (Allgäu),Bayern
Landshut,Landshut,Bayern
Neuwied,"Neuwied, Stadt",Rheinland-Pfalz
Neubrandenburg,"Neubrandenburg, Stadt",Mecklenburg-Vorpommern
Kerpen,"Kerpen, Stadt",Nordrhein-Westfalen
Weimar,"Weimar, Stadt",Thüringen
Dormagen,"Dormagen, Stadt",Nordrhein-Westfalen
Grevenbroich,"Grevenbroich, Stadt",Nordrhein-Westfalen
Herten,"Herten, Stadt",Nordrhein-Westfalen
Sindelfingen,"Sindelfingen, Stadt",Baden-Württemberg
Wesel,"Wesel, Stadt",Nordrhein-Westfalen
Rosenheim,Rosenheim,Bayern
Garbsen,"Garbsen, Stadt",Niedersachsen
Rüsselsheim,"Rüsselsheim, Stadt",Hessen
Unna,"Unna, Stadt",Nordrhein-Westfalen
Frankfurt (Oder),"Frankfurt (Oder), Stadt",Brandenburg
Bergheim,"Bergheim, Stadt",Nordrhein-Westfalen
Schwäbisch Gmünd,"Schwäbisch Gmünd, Stadt",Baden-Württemberg
Offenburg,"Offenburg, Stadt",Baden-Württemberg
Friedrichshafen,"Friedrichshafen, Stadt",Baden-Württemberg
Langenfeld (Rheinland),"Langenfeld (Rheinland), Stadt",Nordrhein-Westfalen
Stralsund,"Stralsund, Hansestadt",Mecklenburg-Vorpommern
Hameln,"Hameln, Stadt",Niedersachsen
Stolberg (Rhld.),"Stolberg (Rhld.), Stadt",Nordrhein-Westfalen
Greifswald,"Greifswald, Hansestadt",Mecklenburg-Vorpommern
Hürth,"Hürth, Stadt",Nordrhein-Westfalen
Euskirchen,"Euskirchen, Stadt",Nordrhein-Westfalen
Göppingen,"Göppingen, Stadt",Baden-Württemberg
Eschweiler,"Eschweiler, Stadt",Nordrhein-Westfalen
Hilden,"Hilden, Stadt",Nordrhein-Westfalen
Meerbusch,"Meerbusch, Stadt",Nordrhein-Westfalen
Menden (Sauerland),"Menden (Sauerland), Stadt",Nordrhein-Westfalen
Görlitz,"Görlitz, Stadt",Sachsen
Hattingen,"Hattingen, Stadt",Nordrhein-Westfalen
Sankt Augustin,"Sankt Augustin, Stadt",Nordrhein-Westfalen
Neu-Ulm,"Neu-Ulm, GKSt",Bayern
Pulheim,"Pulheim, Stadt",Nordrhein-Westfalen
Baden-Baden,"Baden-Baden, Stadt",Baden-Württemberg
Neustadt an der Weinstraße,"Neustadt an der Weinstraße, Stadt",Rheinland-Pfalz
Bad Salzuflen,"Bad Salzuflen, Stadt",Nordrhein-Westfalen
