Adenau,"Verbandsgemeinde Adenau"
Altenahr,"Verbandsgemeinde Altenahr"
Bad Breisig,"Verbandsgemeinde Bad Breisig"
Brohltal,"Verbandsgemeinde Brohltal"
Altenkirchen,"Verbandsgemeinde Altenkirchen (Westerwald)"
Betzdorf,"Verbandsgemeinde Betzdorf"
Flammersfeld,"Verbandsgemeinde Flammersfeld"
Gebhardshain,"Verbandsgemeinde Gebhardshain"
Hamm,"Verbandsgemeinde Hamm (Sieg)"
Herdorf-Daaden,"Verbandsgemeinde Herdorf-Daaden"
Kirchen,"Verbandsgemeinde Kirchen (Sieg)"
Wissen,"Verbandsgemeinde Wissen"
Alzey-Land,"Verbandsgemeinde Alzey-Land"
Eich,"Verbandsgemeinde Eich"
Monsheim,"Verbandsgemeinde Monsheim"
Wöllstein,"Verbandsgemeinde Wöllstein"
Wonnegau,"Verbandsgemeinde Wonnegau"
Wörrstadt,"Verbandsgemeinde Wörrstadt"
Deidesheim,"Verbandsgemeinde Deidesheim"
Freinsheim,"Verbandsgemeinde Freinsheim"
Grünstadt-Land,"Verbandsgemeinde Grünstadt-Land"
Hettenleidelheim,"Verbandsgemeinde Hettenleidelheim"
Lambrecht,"Verbandsgemeinde Lambrecht (Pfalz)"
Wachenheim,"Verbandsgemeinde Wachenheim an der Weinstraße"
Bad Kreuznach,"Verbandsgemeinde Bad Kreuznach"
Bad Münster,"Verbandsgemeinde Bad Münster am Stein-Ebernburg"
Bad Sobernheim,"Verbandsgemeinde Bad Sobernheim"
Kirn-Land,"Verbandsgemeinde Kirn-Land"
Langenlonsheim,"Verbandsgemeinde Langenlonsheim"
Meisenheim,"Verbandsgemeinde Meisenheim"
Rüdesheim,"Verbandsgemeinde Rüdesheim"
Stromberg,"Verbandsgemeinde Stromberg"
Bernkastel-Kues,"Verbandsgemeinde Bernkastel-Kues"
Thalfang,"Verbandsgemeinde Thalfang am Erbeskopf"
Traben-Trarbach,"Verbandsgemeinde Traben-Trarbach"
Wittlich-Land,"Verbandsgemeinde Wittlich-Land"
Baumholder,"Verbandsgemeinde Baumholder"
Birkenfeld,"Verbandsgemeinde Birkenfeld"
Herrstein,"Verbandsgemeinde Herrstein"
Rhaunen,"Verbandsgemeinde Rhaunen"
Arzfeld,"Verbandsgemeinde Arzfeld"
Bitburger Land,"Verbandsgemeinde Bitburger Land"
Prüm,"Verbandsgemeinde Prüm"
Speicher,"Verbandsgemeinde Speicher"
Südeifel,"Verbandsgemeinde Südeifel"
Cochem,"Verbandsgemeinde Cochem"
Kaisersesch,"Verbandsgemeinde Kaisersesch"
Ulmen,"Verbandsgemeinde Ulmen"
Zell,"Verbandsgemeinde Zell (Mosel)"
Alsenz-Obermoschel,"Verbandsgemeinde Alsenz-Obermoschel"
Eisenberg,"Verbandsgemeinde Eisenberg (Pfalz)"
Göllheim,"Verbandsgemeinde Göllheim"
Kirchheimbolanden,"Verbandsgemeinde Kirchheimbolanden"
Rockenhausen,"Verbandsgemeinde Rockenhausen"
Winnweiler,"Verbandsgemeinde Winnweiler"
Bellheim,"Verbandsgemeinde Bellheim"
Hagenbach,"Verbandsgemeinde Hagenbach"
Jockgrim,"Verbandsgemeinde Jockgrim"
Kandel,"Verbandsgemeinde Kandel"
Lingenfeld,"Verbandsgemeinde Lingenfeld"
Rülzheim,"Verbandsgemeinde Rülzheim"
Bruchmühlbach-Miesau,"Verbandsgemeinde Bruchmühlbach-Miesau"
Enkenbach-Alsenborn,"Verbandsgemeinde Enkenbach-Alsenborn"
Kaiserslautern-Süd,"Verbandsgemeinde Kaiserslautern-Süd"
Landstuhl,"Verbandsgemeinde Landstuhl"
Otterbach-Otterberg,"Verbandsgemeinde Otterbach-Otterberg"
Ramstein-Miesenbach,"Verbandsgemeinde Ramstein-Miesenbach"
Weilerbach,"Verbandsgemeinde Weilerbach"
